Sample;Plant_species;P-Ser;Asp;OH-Pro;Thr;Ser;Glu;A-AAA;Pro;Gly;Ala;Citr;Val;Cys;Met;Ile;Leu;Tyr;B-ALA;Phe;B-AIBA;GABA;Ammoniumsulfat;Orn;Lysin;1-Meth;His;Arg;Summe_AS_(mg/g);Summe_AS_essential(mg/g);Summe_AS_non_essential(mg/g);;;;;;;
MH56;Brassica_napus;0;13.01856;0;6.251712;10.058112;11.480304;0.845376;8.201232;13.126752;11.436144;0.55992;3.763824;0;1.974432;2.689632;8.79528;2.655504;0;3.837408;0;0;7.928784;0;10.664208;0;2.207232;4.428672;12.3923088;3.3948192;8.9974896;;;;;;;
OW_1;Brassica_napus_var_DK_Exception;0;7.154171654;0;2.992125971;4.353246334;6.527636808;0.500152082;3.416519233;3.738939439;4.156961419;0;1.988852586;0.444668957;1.489945039;1.505937946;4.956146276;1.813046103;0;2.839777781;0;0.386414548;1.365173443;0;4.298605559;0;1.0582272;2.647179118;5.76337275;1.947819192;3.815553558;;;;;;;
OW_3;Brassica_napus_var_Elgar;0;8.550206606;0;3.597127355;5.171001368;7.267537187;0.3803488;3.849300439;4.888050658;5.061684774;0;2.283388697;0.586828103;1.55275809;1.743690323;5.965452387;2.657537652;0;3.415057032;0;0.18768191;1.696524387;0;5.426755355;0;1.345373729;3.41440991;6.904071476;2.331725752;4.572345724;;;;;;;
OS_8;Brassica_napus_var_Hybrid;0.076053888;6.194995752;0;2.361581496;3.66050688;5.12755296;1.114330464;4.817376984;3.686683032;4.011339024;0;1.651085472;0.276479568;1.056300192;1.139676672;3.691747584;1.287940608;0.148789872;2.13643248;0;0.2994024;1.28875104;0;3.725608752;0;1.048493952;2.272181184;5.107331026;1.535749903;3.571581122;;;;;;;
OW_12_2;Brassica_napus_var_Lumen;0.108322764;6.3759256;0;2.555120873;3.738884727;5.122253794;0.459449309;3.373308945;3.665207709;4.0153752;0;1.708960679;0.223988727;1.272703127;1.321669042;4.400654739;1.534687127;0;2.358695564;0;0.148289042;1.361655273;0;4.025160679;0;1.029850764;2.627400533;5.142756422;1.727505532;3.41525089;;;;;;;
OW_1;Brassica_napus_var_Phoenix_CL;0;4.302254083;0;1.788603351;2.688331087;3.840775449;0.353666717;2.04282086;2.753778136;2.896361932;0;1.240577479;0;0.6552864;0.920578415;3.356799034;1.406754747;0;1.713953117;0;0.207966317;1.520432151;0;2.738717706;0;0.628682989;1.541334747;3.659767472;1.184581553;2.475185918;;;;;;;
MH73;Bunias_orientalis;0;15.59541099;0;6.192369231;10.25475165;11.80050989;0;8.889125275;13.20369231;12.5394989;0.196272527;3.897072527;0;2.335648352;3.240843956;10.40977582;2.666373626;0;4.255859341;0;0.286997802;15.89332747;0;8.531287912;0;2.870505495;4.705054945;13.7764378;3.790712967;9.985724835;;;;;;;
MS087;Calluna_vulgaris;0.101004022;7.82837088;0;2.801050102;4.559146276;6.423338138;0;7.741148858;4.599266007;4.9943304;0;1.971235811;0;1.777378909;1.560488029;5.663345804;2.147121164;0;3.208027811;0;0.085884175;1.886987782;0;4.586224887;0;1.322879651;3.828320553;6.708554926;2.213272667;4.495282259;;;;;;;
NA;Caltha_palustris;0.169358491;12.56658113;0;5.587924528;9.144860377;9.873101887;0;8.461720755;12.60421132;11.39769057;0.226460377;3.648362264;0;2.130566038;2.664498113;8.438083019;2.682928302;0;3.542581132;0;0.31530566;7.510324528;0;9.283833962;0;2.328407547;4.526581132;11.71033811;3.286700377;8.423637736;;;;;;;
J70_1;Calystegia_sepium;0.296762651;21.34041207;9.215329981;8.428358009;11.38147942;15.59238106;0;16.05333427;10.03025121;14.6817571;0;5.289862884;1.231028958;3.860768595;4.0950144;12.35032588;4.732606884;0;7.025441191;0;0.203073433;3.472451163;0;14.5832664;0;5.428549507;6.497935479;17.57903905;5.297625594;12.28141346;;;;;;;
