project;name;sample_name_old;new_name;bees_in_pool;aim_id;host;host_genus;season;bioregion;plot;sampletype;year;sample_affiliation;project_person;collection;LUI_cat;G_STD;M_STD;F_STD;LUI_value_overall2021_global.ALB..HAI.;seq_run;well_in_pcr_plate
ITS2_susy4pAB;Run03-PCon29-S340;Run03-PCon29;Run03-PCon29;NA;;Control;Control;NA;;NA;pos_con;;ugo;susi_ale;;;;;;;Run_03;
ITS2_susy4pAB;ZR-79A-S129;ZR-79A;ZR_079A;4;;Osmia_bicornis;Osmia;NA;Hainich;HEG09;reed_pollen;2020;reed_pollen;susi_ale;;;;;;;;
ITS2_susy4pAB;Run03-PCon30-S351;Run03-PCon30;Run03-PCon30;NA;;Control;Control;NA;;NA;pos_con;;ugo;susi_ale;;;;;;;Run_03;
ITS2_susy4pAB;Run03-PCon31-S362;Run03-PCon31;Run03-PCon31;NA;;Control;Control;NA;;NA;pos_con;;ugo;susi_ale;;;;;;;Run_03;
ITS2_susy4pAB;Run03-PCon32-S373;Run03-PCon32;Run03-PCon32;NA;;Control;Control;NA;;NA;pos_con;;ugo;susi_ale;;;;;;;Run_03;
ITS2_susy4pAB;ZR-79B-S130;ZR-79B;ZR_079B;4;;Osmia_bicornis;Osmia;NA;Hainich;HEG09;reed_pollen;2020;reed_pollen;susi_ale;;;;;;;;
ITS2_susy4pAB;ZR-79C-S131;ZR-79C;ZR_079C;1;;Osmia_bicornis;Osmia;NA;Hainich;HEG09;reed_pollen;2020;reed_pollen;susi_ale;;;;;;;;
ITS2_susy4pAB;ZR-84-S227;ZR-84;ZR_084;3;;NA;NA;NA;Hainich;HEG09;reed_pollen;2020;reed_pollen;susi_ale;;;;;;;;
ITS2_susy4pAB;ZR-85-S138;ZR-85;ZR_085;2;;Osmia_bicornis;Osmia;NA;Hainich;HEG09;reed_pollen;2020;reed_pollen;susi_ale;;;;;;;;
ITS2_susy4pAB;ZR-86-S139;ZR-86;ZR_086;2;;Osmia_bicornis;Osmia;NA;Hainich;HEG09;reed_pollen;2020;reed_pollen;susi_ale;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-001-E035;AIM20201006NGSeco-A-001-E035;Z_001;12;1;Apis_mellifera;Apis;1;Alb;AEG01;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-002-E035;AIM20201006NGSeco-A-002-E035;Z_002;11;2;Apis_mellifera;Apis;1;Alb;AEG12;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-003-E035;AIM20201006NGSeco-A-003-E035;Z_003A;10;3;Apis_mellifera;Apis;1;Alb;AEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-004-E035;AIM20201006NGSeco-A-004-E035;Z_003B;10;4;Apis_mellifera;Apis;1;Alb;AEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-005-E035;AIM20201006NGSeco-A-005-E035;Z_003C;8;5;Apis_mellifera;Apis;1;Alb;AEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-006-E035;AIM20201006NGSeco-A-006-E035;Z_004;5;6;Apis_mellifera;Apis;1;Alb;AEG04;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-007-E035;AIM20201006NGSeco-A-007-E035;Z_005;14;7;Apis_mellifera;Apis;1;Alb;AEG41;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-008-E035;AIM20201006NGSeco-A-008-E035;Z_006;11;8;Apis_mellifera;Apis;1;Alb;AEG06;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-009-E035;AIM20201006NGSeco-A-009-E035;Z_007;5;9;Apis_mellifera;Apis;1;Alb;AEG07;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-010-E035;AIM20201006NGSeco-A-010-E035;Z_008;4;10;Apis_mellifera;Apis;1;Hainich;HEG01;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-011-E035;AIM20201006NGSeco-A-011-E035;Z_009;6;11;Apis_mellifera;Apis;1;Schorfheide;SEG06;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-012-E035;AIM20201006NGSeco-A-012-E035;Z_010;4;12;Apis_mellifera;Apis;2;Alb;AEG11;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-013-E035;AIM20201006NGSeco-A-013-E035;Z_011;10;13;Apis_mellifera;Apis;2;Alb;AEG24;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-014-E035;AIM20201006NGSeco-A-014-E035;Z_012;8;14;Apis_mellifera;Apis;2;Alb;AEG46;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-015-E035;AIM20201006NGSeco-A-015-E035;Z_013;6;15;Apis_mellifera;Apis;2;Alb;AEG09;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-016-E035;AIM20201006NGSeco-A-016-E035;Z_014;3;16;Apis_mellifera;Apis;2;Schorfheide;SEG16;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-017-E035;AIM20201006NGSeco-A-017-E035;Z_015;4;17;Apis_mellifera;Apis;2;Schorfheide;SEG43;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-018-E035;AIM20201006NGSeco-A-018-E035;Z_016;6;18;Apis_mellifera;Apis;2;Schorfheide;SEG46;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM262;AIM262;Z_034;10;110;Bombus_lapidarius;Bombus;2;Belgium;BELAS;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-061-E035;AIM20201006NGSeco-A-061-E035;Z_054;3;61;Bombus_terrestris;Bombus;2;Belgium;BELAS;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-021-E035;AIM20201006NGSeco-A-021-E035;Z_020;9;21;Bombus_lapidarius;Bombus;1;Alb;AEG01;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-022-E035;AIM20201006NGSeco-A-022-E035;Z_021;6;22;Bombus_lapidarius;Bombus;1;Alb;AEG12;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-023-E035;AIM20201006NGSeco-A-023-E035;Z_022;3;23;Bombus_lapidarius;Bombus;1;Schorfheide;SEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-024-E035;AIM20201006NGSeco-A-024-E035;Z_023;4;24;Bombus_lapidarius;Bombus;2;Alb;AEG01;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-025-E035;AIM20201006NGSeco-A-025-E035;Z_024;3;25;Bombus_lapidarius;Bombus;2;Alb;AEG11;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-026-E035;AIM20201006NGSeco-A-026-E035;Z_025;3;26;Bombus_lapidarius;Bombus;2;Alb;AEG17;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-027-E035;AIM20201006NGSeco-A-027-E035;Z_026A;12;27;Bombus_lapidarius;Bombus;2;Alb;AEG24;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-028-E035;AIM20201006NGSeco-A-028-E035;Z_026B;10;28;Bombus_lapidarius;Bombus;2;Alb;AEG24;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-029-E035;AIM20201006NGSeco-A-029-E035;Z_027;7;29;Bombus_lapidarius;Bombus;2;Alb;AEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-030-E035;AIM20201006NGSeco-A-030-E035;Z_028;4;30;Bombus_lapidarius;Bombus;2;Alb;AEG32;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-031-E035;AIM20201006NGSeco-A-031-E035;Z_029;3;31;Bombus_lapidarius;Bombus;2;Alb;AEG04;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-032-E035;AIM20201006NGSeco-A-032-E035;Z_030;7;32;Bombus_lapidarius;Bombus;2;Alb;AEG46;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
