Pflanzenname,Family,order,SampleID,Caproic,Methylheptanoic1,Methylheptanoic2,Caprylic,Pelargonic,Methylnonanoic1,Capric,Methyldecanoic1,Lauric,Methyldodecanoic1,Methyldodecanoic2,Tetradecenoic,Myristic ,Myristoleic,Methyltetradecanoic1,Methyltetradecanoic2,Methyltetradecanoic3,Pentadecenoic,Pentadecanoic,Methylpentadecenoic,Hexadecadienoic1Hexadecenoic1,Methylpentadecanoic1,Hexadecadienoic2,Hexadecadienoic3Hexadecatrienoic ,Palmitoleic,Hexadecenoic2,Hexadecadienoic4,Methylpentadecanoic2,Hexadecenoic3,Palmitic,Hexadecadienoic5,Unknown,Methylhexadecanoic1,Methylhexadecenoic,Methylhexadecanoic2,Heptadecadienoic,Methylhexadecanoic3,Heptadecenoic1,Heptadecenoic2,Heptadecenoic3,Margaric,Octadecatrienoic1,Octadecenoic1,Octadecadienoic1,Octadecatrienoic2Octadecadienoic2,Octadecadienoic3Octadecenoic3,Linoleic,LinolenicOleic,Octadecenoic4,Elaidic,StearicOctadecatrienoic4,Octadecatrienoic5,Octadecatrienoic6Octadecadienoic2,Octadecadienoic3Octadecatrienoic7,Octadecatrienoic8,Octadecatrienoic9Octadecadienoic4,Methyloctadecanoic1,Methyloctadecanoic2,Octadecatrienoic10,Octadecatrienoic11Eicosenoic1,Octadecatrienoic12,Eicosatrienoic1,Arachidonic,Methylnonadecanoic,Eicosadienoic1,Eicosenoic2,Eicosenoic3,Eicosenoic4,Eicosatrienoic2,Eicosadienoic2,Arachidic,Unknown,Methyleicosenoic,Unknown1,Methyleicosanoic1,Methyleicosanoic2,Erucic,Docosenoic1,Behenic,Docosenoic2,Methyldocosanoic,Tricosenoic2,Tricosanoic,Methyltricosanoic,Tetracosenoic1,Nervonic,Tetracosenoic2,Lignoceric,unknown,Methyldocosenoic,Tetracosenoic3,Methyltetracosanoic,Methylpentacosanoic,Unknown,Ximenic,Cerotic,Methylhexacosenoic,Octacosenoic,Montanic,Methyloctacosenoic,Methyloctacosanoic,Mellisic,Sum,Unsaturated_saturated
Anthriscus_sylvestris,Apiaceae,Apiales,NB_176,178.6275656,0,0,0,0,0,0,111.3931962,11.96057018,0,0,0,175.6937167,0,0,58.30148206,0,0,61.86950248,0,0,0,0,0,37.92879669,27.46606746,0,71.59003342,0,6903.748945,0,0,39.15194844,0,432.2780858,0,224.1657457,0,0,0,91.17521563,61.23499351,0,0,0,0,4225.477134,7425.054396,0,134.8770844,1208.726411,252.9503859,3538.44927,345.5538681,266.1980158,193.6274189,0,0,369.0453739,62.41003388,0,0,0,0,0,125.1515285,0,0,114.847647,0,407.0271974,79.98274362,0,0,38.52211696,0,0,0,386.8692786,0,0,0,51.02519653,0,0,214.7166966,0,182.916435,0,0,0,0,0,0,0,27.61149748,0,0,0,0,0,0,28137.62559,1.63139388
Anthyllis_vulneraria,Fabaceae,Fabales,LN_178,700.764993,0,0,0,52.02295525,0,42.48414861,33.28178323,67.92072447,0,0,0,137.2535789,0,0,0,0,0,60.83389508,0,0,0,0,0,30.29794379,13.93708287,0,37.27877031,0,3887.742893,0,0,0,0,0,0,0,0,0,0,78.99561099,0,0,47.15369616,52.93571381,0,438.4452253,665.8264597,0,107.309988,1124.839175,90.16960124,3381.645476,223.8569751,42.72144774,0,0,31.08718998,175.7518132,132.7509118,0,0,0,0,0,31.31160438,0,0,0,0,164.7062248,0,0,0,137.2697714,0,16.05665759,0,200.6837908,0,0,0,112.6967029,0,0,0,0,127.0676621,0,0,0,0,0,0,0,61.94068122,0,0,0,0,0,0,12509.04115,0.772102358
Aquilegia_vulgaris,Ranunculaceae,Ranunculales,LN_288 ,274.102355,0,0,0,135.658506,0,33.33892468,76.77954284,62.13314963,67.60026933,0,0,156.6928668,0,0,0,0,0,56.49365627,0,0,0,0,0,51.59655097,60.71798003,0,103.9031492,0,10325.90496,0,0,9.571709407,0,0,0,0,0,0,0,156.7699321,35.62332756,0,0,0,84.98841582,5207.82875,2925.629602,0,0,2980.244427,297.1325943,10162.93203,475.4115964,104.2548274,351.6633247,0,0,364.4730967,248.7283102,0,0,0,0,39.4930409,83.50631854,0,0,0,0,492.9836372,0,0,0,0,0,0,0,289.1710396,0,0,0,46.00669848,0,0,0,0,222.1398317,0,0,0,0,0,0,0,53.47092421,0,0,0,0,0,0,36036.94535,1.318537293
Arabidopsis_arenosa,Brassicaceae,Brassicales,NB340,293.4419484,0,0,327.1874919,118.0938399,0,601.3739846,0,505.5240133,0,0,0,875.7337123,0,0,0,77.29068121,0,157.0935247,0,0,335.4579868,0,0,258.1805564,242.0473735,0,0,0,6508.590077,0,0,0,0,0,0,0,0,0,0,414.1146659,0,54.99820251,0,0,0,5295.939619,6510.494,209.5432423,0,1762.446007,81.60286299,624.6116874,172.5535814,97.88075553,0,0,0,152.1833735,0,0,0,0,0,0,250.4336156,0,0,0,0,857.3949241,0,0,0,0,0,0,0,235.5389739,0,0,0,78.49328358,0,0,363.9732228,0,434.2540433,0,0,0,0,0,0,0,191.7656813,0,0,0,0,0,0,28088.23693,1.039251874
Arctium_tomentosum,Asteraceae,Asterales,J136_1,0,0,0,370.7541044,246.574499,0,105.9959272,37.86007468,1700.964745,21.96145893,0,0,247.2764667,6.808781448,0,0,0,0,87.66236477,0,0,24.70998262,0,0,127.4088624,25.19252156,0,0,0,10102.21357,0,0,0,0,0,0,0,0,0,0,204.6940569,0,0,0,0,0,5046.686835,7898.047995,0,0,2777.186387,164.304309,2015.149435,222.2002362,203.0812243,8.126921862,0,0,91.33599893,0,0,0,0,0,0,27.73227018,0,0,65.60875591,0,488.8911008,0,0,0,0,0,0,0,566.1717589,0,0,0,42.9810365,0,0,0,0,255.6020497,0,0,0,48.9931108,0,0,0,74.64235312,0,0,0,0,0,0,33306.81919,0.913620268
Atropa_belladonna,Solanaceae,Solanales,J_45_1,89.77819316,0,0,233.8084679,233.2521544,0,135.4305454,74.11642876,175.3089331,76.83024171,0,0,304.323156,0,22.95594797,0,22.60698021,0,122.1739634,0,0,47.14055776,0,0,169.6517678,70.78593739,0,54.63518714,0,4999.500654,0,0,40.99279989,22.09000931,24.19952993,0,0,0,0,0,179.6590943,0,0,0,0,0,4565.206554,3705.969451,0,42.2168095,1331.05595,143.3682021,2433.767597,629.3131952,0,161.8019067,58.74917422,109.0084783,146.7914411,0,0,0,0,0,0,87.72279632,0,0,0,0,344.4630482,0,0,0,0,0,0,0,371.9989782,0,0,0,56.17786392,0,0,0,0,201.6382248,0,0,0,0,0,0,0,18.00435976,0,0,0,0,0,0,21506.49458,1.300184714
Bellis_perennis,Asteraceae,Asterales,NB16_FA,0,0,0,355.8241778,194.9805009,0,302.2718421,0,153.589112,149.7441929,0,0,1076.039944,0,0,0,0,0,184.0429679,0,0,0,0,0,159.9348892,0,0,0,0,5398.955465,0,0,0,0,0,0,0,0,0,0,73.83721337,0,0,0,0,0,0,0,127.2240964,0,34.74801471,0,99.30286638,0,0,0,0,0,0,0,0,619.932445,0,0,0,0,0,122.7821672,0,0,485.2965944,0,0,0,0,0,0,0,247.1581708,0,0,0,0,0,0,0,0,510.8322853,0,0,0,0,0,0,0,94.33483869,0,0,212.9826536,0,0,0,10603.81444,0.119178851
Borago_officinalis,Boraginaceae,Boraginales,NB_164,215.7586842,0,0,9.381213332,0,0,0,147.8516269,34.25188827,0,0,0,186.393463,0,0,0,9.369632357,0,53.04162568,0,0,0,0,0,63.0920194,41.24362853,0,132.7772503,0,9051.273014,0,0,26.90597324,0,0,0,24.24346946,0,0,0,112.659154,378.3207186,0,0,0,0,1467.511423,6315.843959,0,79.90522755,1308.305831,92.48435373,3149.186834,119.8988617,240.0483879,0,0,0,514.1633923,60.22478596,0,0,0,0,0,265.7519464,55.64139477,0,0,0,226.2463834,0,0,0,0,0,920.0171177,0,633.563196,0,0,0,37.89503759,0,0,0,0,489.2349321,0,0,0,0,0,0,0,114.1885566,0,0,49.37184256,0,0,0,26626.04683,1.070017989
Calluna_vulgaris,Ericaceae,Ericales,MS087,66.00109406,0,0,143.2827336,126.2532303,0,84.82754405,110.0871678,73.6566072,0,20.66722569,0,433.2609573,23.21193145,38.65141404,0,0,0,136.1058692,0,0,0,0,17.89910925,94.63431012,52.05043831,0,17.82211553,0,4743.933878,0,0,25.59710729,38.40316626,0,0,0,0,0,0,167.5149517,0,0,0,4855.39453,4107.290552,63.58615081,1311.618028,0,91.40598557,1024.694791,185.6107868,71.67232509,26.36109418,0,0,0,0,118.3565385,0,0,0,0,0,0,130.9142269,0,0,0,0,368.4874593,0,0,0,0,0,0,0,570.4272079,0,0,0,55.61943901,0,0,0,0,133.8613797,0,0,0,0,0,0,0,41.61287293,0,0,10.69340467,0,0,0,19581.46762,1.322428603
Calystegia_sepium,Convolvulaceae,Solanales,J70_1,97.58206215,0,0,115.9073371,322.1981958,0,160.6035246,84.30825343,273.2371541,49.17848274,0,0,277.3899008,0,26.79547402,0,21.83088038,0,166.1788934,0,0,192.596026,0,0,79.96569461,24.56548659,0,14.95522125,0,8380.730421,0,0,112.6945084,46.81101546,108.7396299,71.332376,0,0,0,0,134.7563634,0,0,0,1061.118168,0,1843.567011,1428.142121,0,14.13300719,1954.86088,0,1137.11429,0,0,274.0165362,0,0,166.1463767,0,0,0,0,0,0,0,0,0,0,0,812.8277508,0,0,0,0,0,0,0,274.506537,0,0,0,60.51051379,0,0,0,0,60.99242066,0,0,0,0,0,0,0,115.0638463,0,0,0,0,0,0,19965.35636,0.439955914
